dYear,est,ist,imf_by,em,f107,dst
2023.7649543378996,-2.8,-1.2,3.2,0.23287,146.91357,-4.0
2023.7650684931507,0.7,0.3,2.7,0.199421,146.91357,1.0
2023.7651826484018,3.5,1.5,0.6,0.008544,146.91357,5.0
2023.765296803653,2.1,0.9,2.0,0.077246,146.91357,3.0
2023.765410958904,0.7,0.3,2.6,0.125829,146.91357,1.0
2023.7655251141553,-1.4,-0.6,2.4,0.099836,146.91357,-2.0
2023.7656392694064,0.0,0.0,1.5,0.038527,146.91357,0.0
2023.7657534246575,-2.1,-0.9,2.4,0.10239,146.91357,-3.0
2023.7658675799087,-4.9,-2.1,2.4,0.100741,146.91357,-7.0
2023.7659817351598,-5.6,-2.4,3.1,0.166022,146.91357,-8.0
2023.766095890411,-5.6,-2.4,3.1,0.17016,146.91357,-8.0
2023.766210045662,-4.2,-1.8,2.6,0.131027,146.91357,-6.0
2023.7663242009132,-3.5,-1.5,3.1,0.32624,146.91357,-5.0
2023.7664383561644,-3.5,-1.5,2.5,1.083343,146.91357,-5.0
2023.7665525114155,-5.6,-2.4,2.3,1.264887,146.91357,-8.0
2023.7666666666667,-6.3,-2.7,2.3,1.331575,146.91357,-9.0
2023.7667808219178,-8.4,-3.6,1.3,1.415547,146.91357,-12.0
2023.766894977169,-10.5,-4.5,-0.3,1.496588,146.91357,-15.0
2023.76700913242,-14.0,-6.0,-0.6,1.418936,146.91357,-20.0
2023.7671232876712,-16.8,-7.2,-0.1,1.316296,146.64197,-24.0
2023.7672374429224,-19.6,-8.4,-0.6,1.075848,146.64197,-28.0
2023.7673515981735,-21.7,-9.3,0.3,1.101015,146.64197,-31.0
2023.7674657534246,-21.0,-9.0,1.5,1.013479,146.64197,-30.0
2023.7675799086758,-18.2,-7.8,1.2,1.081978,146.64197,-26.0
2023.767694063927,-16.1,-6.9,0.8,0.954194,146.64197,-23.0
2023.767808219178,-14.7,-6.3,0.1,1.095037,146.64197,-21.0
2023.7679223744292,-13.3,-5.7,-1.4,1.424743,146.64197,-19.0
2023.7680365296803,-14.7,-6.3,-1.6,1.176169,146.64197,-21.0
2023.7681506849315,-14.0,-6.0,-2.1,1.194112,146.64197,-20.0
2023.7682648401826,-11.9,-5.1,-2.9,0.545682,146.64197,-17.0
2023.7683789954337,-8.4,-3.6,-2.8,0.334759,146.64197,-12.0
2023.768493150685,-6.3,-2.7,-3.0,0.340559,146.64197,-9.0
2023.768607305936,-5.6,-2.4,-2.7,0.303584,146.64197,-8.0
2023.7687214611872,-2.1,-0.9,-2.0,0.343651,146.64197,-3.0
2023.7688356164383,-2.8,-1.2,-2.2,0.386875,146.64197,-4.0
2023.7689497716894,-4.9,-2.1,-2.1,0.416213,146.64197,-7.0
2023.7690639269406,-4.2,-1.8,-1.3,0.350128,146.64197,-6.0
2023.7691780821917,-2.1,-0.9,-0.1,0.18547,146.64197,-3.0
2023.7692922374429,-2.1,-0.9,-0.6,0.016393,146.64197,-3.0
2023.769406392694,0.7,0.3,0.0,0.0,146.64197,1.0
2023.7695205479451,4.9,2.1,0.7,0.150338,146.64197,7.0
2023.7696347031963,4.9,2.1,2.9,0.282394,146.64197,7.0
2023.7697488584474,6.3,2.7,3.0,0.472972,146.64197,9.0
2023.7698630136986,7.7,3.3,2.8,0.771984,146.45679,11.0
2023.7699771689497,5.6,2.4,3.0,0.728844,146.45679,8.0
2023.7700913242008,4.9,2.1,2.1,0.57356,146.45679,7.0
2023.770205479452,4.9,2.1,2.7,0.727307,146.45679,7.0
2023.7703196347031,3.5,1.5,2.0,0.27558,146.45679,5.0
2023.7704337899543,4.9,2.1,1.5,0.422561,146.45679,7.0
2023.7705479452054,2.8,1.2,4.2,0.905758,146.45679,4.0
2023.7706621004565,4.2,1.8,0.9,1.467892,146.45679,6.0
2023.7707762557077,-1.4,-0.6,2.8,1.697516,146.45679,-2.0
2023.7708904109588,-9.1,-3.9,2.0,1.640984,146.45679,-13.0
2023.77100456621,-14.7,-6.3,2.8,1.525882,146.45679,-21.0
2023.771118721461,-16.1,-6.9,2.7,1.3446,146.45679,-23.0
2023.7712328767122,-16.1,-6.9,3.8,1.263388,146.45679,-23.0
2023.7713470319634,-14.0,-6.0,-0.2,1.8822,146.45679,-20.0
2023.7714611872145,-17.5,-7.5,2.4,1.5936,146.45679,-25.0
2023.7715753424657,-18.9,-8.1,3.4,1.749264,146.45679,-27.0
2023.7716894977168,-18.9,-8.1,4.7,1.706257,146.45679,-27.0
2023.771803652968,-19.6,-8.4,6.0,1.17396,146.45679,-28.0
2023.771917808219,-14.7,-6.3,1.8,0.385952,146.45679,-21.0
2023.7720319634702,-14.0,-6.0,1.6,0.401731,146.45679,-20.0
2023.7721461187214,-10.5,-4.5,0.9,0.084291,146.45679,-15.0
2023.7722602739725,-9.8,-4.2,-0.3,0.005625,146.45679,-14.0
2023.7723744292236,-9.8,-4.2,-0.6,0.22546,146.45679,-14.0
2023.7724885844748,-8.4,-3.6,-0.3,0.127108,146.45679,-12.0
2023.772602739726,-9.1,-3.9,0.5,0.041454,146.46913,-13.0
2023.772716894977,-9.1,-3.9,0.6,0.1008,146.46913,-13.0
2023.7728310502282,-7.7,-3.3,-0.4,0.197274,146.46913,-11.0
2023.7729452054793,-7.0,-3.0,1.0,0.681136,146.46913,-10.0
2023.7730593607305,-7.7,-3.3,-1.1,0.123953,146.46913,-11.0
2023.7731735159816,-2.8,-1.2,-0.6,0.013579,146.46913,-4.0
2023.7732876712328,0.0,0.0,0.9,0.348724,146.46913,0.0
2023.773401826484,-3.5,-1.5,2.8,0.589926,146.46913,-5.0
2023.7735159817353,-4.9,-2.1,3.7,0.966463,146.46913,-7.0
2023.7736301369864,-4.9,-2.1,4.4,0.811965,146.46913,-7.0
2023.7737442922376,-7.0,-3.0,4.8,0.706662,146.46913,-10.0
2023.7738584474887,-7.0,-3.0,4.5,0.788963,146.46913,-10.0
2023.7739726027398,-7.7,-3.3,4.3,0.668977,146.46913,-11.0
2023.774086757991,-6.3,-2.7,3.7,0.593797,146.46913,-9.0
2023.774200913242,-4.2,-1.8,3.6,0.43606,146.46913,-6.0
2023.7743150684933,-1.4,-0.6,2.1,0.569242,146.46913,-2.0
2023.7744292237444,-0.7,-0.3,2.1,0.474525,146.46913,-1.0
2023.7745433789955,-1.4,-0.6,2.7,0.502454,146.46913,-2.0
2023.7746575342467,-2.8,-1.2,1.8,0.330358,146.46913,-4.0
2023.7747716894978,-3.5,-1.5,1.5,0.326208,146.46913,-5.0
2023.774885844749,-1.4,-0.6,1.9,0.357763,146.46913,-2.0
2023.775,-1.4,-0.6,2.6,0.388864,146.46913,-2.0
2023.7751141552512,-1.4,-0.6,2.2,0.315411,146.46913,-2.0
2023.7752283105024,-0.7,-0.3,3.1,0.350644,146.46913,-1.0
2023.7753424657535,-0.7,-0.3,2.6,0.335871,146.67902,-1.0
2023.7754566210047,0.7,0.3,1.6,0.167624,146.67902,1.0
2023.7755707762558,1.4,0.6,0.6,0.017981,146.67902,2.0
2023.775684931507,-0.7,-0.3,-0.3,0.208275,146.67902,-1.0
2023.775799086758,-0.7,-0.3,-0.3,0.339952,146.67902,-1.0
2023.7759132420092,0.7,0.3,-0.6,0.138827,146.67902,1.0
2023.7760273972603,2.8,1.2,0.8,0.401354,146.67902,4.0
2023.7761415525115,2.8,1.2,0.4,0.997235,146.67902,4.0
2023.7762557077626,1.4,0.6,0.4,1.146853,146.67902,2.0
2023.7763698630138,1.4,0.6,1.6,1.006793,146.67902,2.0
2023.776484018265,0.7,0.3,2.1,0.435582,146.67902,1.0
2023.776598173516,2.1,0.9,1.9,0.170343,146.67902,3.0
2023.7767123287672,2.1,0.9,1.8,0.398847,146.67902,3.0
